Date,Time,UserID,Location,PostContent,Sentiment,Likes,Comments,EngagementScore,ImageDescription,TravelType
6/26/2025,14:32,U78842,Buenos Aires,Business isn’t all boring – check out colorful caminito buildings in Buenos Aires.,Positive,70292,4913,52001.2,Colorful Caminito buildings,Business
7/15/2025,4:57,U27414,Tallinn,Adrenaline + views = Tallinn. Loved medieval towers and stone walls!,Positive,214805,3634,136151,Medieval towers and stone walls,Adventure
7/23/2025,6:59,U26556,Berlin,Relaxing in Berlin with views like this: street musicians in alexanderplatz.,Positive,257449,482,155433.4,Street musicians in Alexanderplatz,Leisure
5/29/2025,18:03,U13569,Oslo,Adventuring through Oslo – just look at viking ship museum display!,Neutral,234143,4350,149185.8,Viking Ship Museum display,Adventure
6/11/2025,11:05,U90133,Kuala Lumpur,Relaxing in Kuala Lumpur with views like this: batu caves steps and statues.,Neutral,462831,4054,285806.6,Batu Caves steps and statues,Leisure
5/31/2025,12:58,U18498,Bali,Business isn’t all boring – check out sunset surfer at uluwatu in Bali.,Positive,134011,1934,84274.6,Sunset surfer at Uluwatu,Business
6/11/2025,23:17,U97430,Los Angeles,Relaxing in Los Angeles with views like this: santa monica pier.,Positive,353239,2400,216743.4,Santa Monica Pier,Leisure
7/18/2025,10:25,U31060,Manila,Exploring the beauty of Manila – sunset over manila bay.,Neutral,484978,392,291770.8,Sunset over Manila Bay,Leisure
7/18/2025,8:12,U18312,Venice,"Between meetings in Venice, took a moment to enjoy piazza san marco crowd.",Negative,80857,3041,54596.2,Piazza San Marco crowd,Business
6/28/2025,5:02,U70656,Iceland,Vacation vibes in Iceland! Waterfall crashing down cliffs made it unforgettable.,Positive,58759,902,37059.4,Waterfall crashing down cliffs,Leisure
6/24/2025,6:58,U87104,Tokyo,Adrenaline + views = Tokyo. Loved shibuya crossing at rush hour!,Neutral,187906,813,114369.6,Shibuya Crossing at rush hour,Adventure
5/31/2025,0:16,U43101,Rome,Thrill-seeking in Rome! Colosseum under golden light was the highlight.,Neutral,355588,1616,216584.8,Colosseum under golden light,Adventure
6/15/2025,4:10,U81853,Cairo,Vacation vibes in Cairo! Pyramids of Giza under hazy sky made it unforgettable.,Negative,92781,4493,64654.6,Pyramids of Giza under hazy sky,Leisure
7/20/2025,14:41,U85171,Vienna,Exploring the beauty of Vienna – horse-drawn carriage in old town.,Neutral,152643,2548,96681.8,Horse-drawn carriage in old town,Leisure
7/15/2025,12:32,U35316,Bali,Vacation vibes in Bali! Rice terraces in Ubud made it unforgettable.,Neutral,282476,2049,173583.6,Rice terraces in Ubud,Leisure
6/24/2025,12:14,U23906,Mexico City,Adventuring through Mexico City – just look at zócalo square flag!,Negative,364477,1026,220738.2,Zócalo square flag,Adventure
6/14/2025,11:40,U54731,Manila,"Between meetings in Manila, took a moment to enjoy intramuros colonial wall.",Positive,251467,3450,157780.2,Intramuros colonial wall,Business
7/4/2025,15:30,U22502,New York,Quick trip to New York for work – still managed to catch this: central park in summer.,Positive,285516,2040,175389.6,Central Park in summer,Business
6/19/2025,22:42,U73057,Cape Town,Relaxing in Cape Town with views like this: top of table mountain view.,Neutral,119058,3027,77488.8,Top of Table Mountain view,Leisure
7/8/2025,23:48,U11782,Amman,Adrenaline + views = Amman. Loved roman amphitheater with crowd!,Positive,130433,1041,80341.8,Roman amphitheater with crowd,Adventure
7/13/2025,12:14,U59150,London,Vacation vibes in London! Big Ben in the rain made it unforgettable.,Positive,38876,4326,31977.6,Big Ben in the rain,Leisure
7/12/2025,5:59,U89257,Istanbul,Adrenaline + views = Istanbul. Loved bosporus ferry ride!,Positive,330531,953,200224.6,Bosporus ferry ride,Adventure
7/2/2025,3:37,U12955,Berlin,Vacation vibes in Berlin! Berlin Wall graffiti made it unforgettable.,Positive,243474,1210,148504.4,Berlin Wall graffiti,Leisure
7/27/2025,10:27,U85571,Budapest,Vacation vibes in Budapest! Parliament building by the Danube made it unforgettable.,Positive,214138,296,129074.8,Parliament building by the Danube,Leisure
7/14/2025,14:13,U63228,Moscow,Adventuring through Moscow – just look at st. basil's cathedral in snow!,Positive,418060,935,252706,St. Basil's Cathedral in snow,Adventure
6/1/2025,10:53,U77078,Sydney,Vacation vibes in Sydney! Opera House from the ferry made it unforgettable.,Negative,215627,4692,138760.2,Opera House from the ferry,Leisure
6/18/2025,3:43,U54606,Helsinki,Adventuring through Helsinki – just look at tram crossing snowy street!,Positive,108244,668,66282.4,Tram crossing snowy street,Adventure
6/6/2025,13:36,U87355,Moscow,Exploring the beauty of Moscow – moscow metro ornate station.,Negative,355565,2441,218221,Moscow Metro ornate station,Leisure
6/15/2025,5:27,U56253,Vienna,Thrill-seeking in Vienna! Horse-drawn carriage in old town was the highlight.,Negative,64408,4044,46732.8,Horse-drawn carriage in old town,Adventure
6/19/2025,13:47,U62907,Istanbul,Adrenaline + views = Istanbul. Loved bosporus ferry ride!,Positive,224382,2481,139591.2,Bosporus ferry ride,Adventure
7/12/2025,11:41,U95303,Copenhagen,Business isn’t all boring – check out little mermaid statue by sea in Copenhagen.,Positive,157250,357,95064,Little Mermaid statue by sea,Business
6/16/2025,1:31,U11921,Athens,Quick trip to Athens for work – still managed to catch this: columns of the temple of olympian zeus.,Positive,426534,1073,258066.4,Columns of the Temple of Olympian Zeus,Business
6/27/2025,18:18,U52227,Cape Town,Business isn’t all boring – check out top of table mountain view in Cape Town.,Positive,321684,2158,197326.4,Top of Table Mountain view,Business
7/12/2025,18:23,U43392,Lisbon,Business isn’t all boring – check out view from miradouro da senhora in Lisbon.,Negative,34019,1311,23033.4,View from Miradouro da Senhora,Business
6/29/2025,3:07,U62116,Helsinki,Thrill-seeking in Helsinki! Tram crossing snowy street was the highlight.,Neutral,414806,1026,250935.6,Tram crossing snowy street,Adventure
7/8/2025,15:53,U94011,Istanbul,Adrenaline + views = Istanbul. Loved bosporus ferry ride!,Positive,206685,1365,126741,Bosporus ferry ride,Adventure
6/8/2025,9:03,U78030,Beijing,Business isn’t all boring – check out forbidden city red gates in Beijing.,Neutral,166535,2087,104095,Forbidden City red gates,Business
6/16/2025,7:17,U86807,Zagreb,Vacation vibes in Zagreb! Café tables in pedestrian zone made it unforgettable.,Positive,77075,4440,55125,Café tables in pedestrian zone,Leisure
6/10/2025,21:46,U68512,Lima,Business isn’t all boring – check out colonial architecture in center in Lima.,Neutral,8685,3804,12819,Colonial architecture in center,Business
6/28/2025,17:34,U86298,Moscow,Relaxing in Moscow with views like this: st. basil's cathedral in snow.,Positive,10821,719,7930.6,St. Basil's Cathedral in snow,Leisure
6/1/2025,18:15,U97972,Mexico City,Exploring the beauty of Mexico City – zócalo square flag.,Positive,228482,4314,145717.2,Zócalo square flag,Leisure
6/5/2025,13:18,U49856,Barcelona,Quick trip to Barcelona for work – still managed to catch this: park güell mosaics.,Positive,110003,4572,75145.8,Park Güell mosaics,Business
6/28/2025,16:43,U95062,Buenos Aires,Thrill-seeking in Buenos Aires! Obelisk in city center was the highlight.,Positive,251832,4491,160081.2,Obelisk in city center,Adventure
6/30/2025,10:56,U96479,Rome,Thrill-seeking in Rome! Pasta served in a small trattoria was the highlight.,Negative,140633,3815,92009.8,Pasta served in a small trattoria,Adventure
6/3/2025,5:56,U17167,Helsinki,Quick trip to Helsinki for work – still managed to catch this: tram crossing snowy street.,Positive,76762,550,47157.2,Tram crossing snowy street,Business
6/22/2025,19:44,U67583,London,Thrill-seeking in London! London Eye over the Thames was the highlight.,Neutral,27257,3247,22848.2,London Eye over the Thames,Adventure
6/14/2025,4:34,U45815,Los Angeles,Quick trip to Los Angeles for work – still managed to catch this: hollywood sign from afar.,Positive,89079,4893,63233.4,Hollywood sign from afar,Business
6/18/2025,21:40,U21618,Jakarta,Business isn’t all boring – check out national monument in central park in Jakarta.,Positive,156262,3696,101149.2,National Monument in central park,Business
6/20/2025,9:44,U15917,Venice,Exploring the beauty of Venice – bridge of sighs at dusk.,Positive,320431,1898,196054.6,Bridge of Sighs at dusk,Leisure
6/15/2025,11:35,U23314,Santiago,Adrenaline + views = Santiago. Loved andes behind the skyline!,Negative,415382,4487,258203.2,Andes behind the skyline,Adventure
7/18/2025,4:02,U24489,Budapest,Thrill-seeking in Budapest! Parliament building by the Danube was the highlight.,Neutral,10501,4256,14812.6,Parliament building by the Danube,Adventure
6/15/2025,15:33,U44969,Santorini,Vacation vibes in Santorini! Donkey path to Oia made it unforgettable.,Positive,92038,2122,59466.8,Donkey path to Oia,Leisure
6/6/2025,14:29,U11063,Brussels,Business isn’t all boring – check out atomium reflecting in water in Brussels.,Neutral,31065,668,19975,Atomium reflecting in water,Business
6/26/2025,4:04,U33315,Rio de Janeiro,Adventuring through Rio de Janeiro – just look at beach volleyball at copacabana!,Positive,414661,1445,251686.6,Beach volleyball at Copacabana,Adventure
6/26/2025,11:37,U47426,Budapest,"Between meetings in Budapest, took a moment to enjoy parliament building by the danube.",Positive,250148,4772,159632.8,Parliament building by the Danube,Business
7/25/2025,15:08,U68500,Beijing,"Between meetings in Beijing, took a moment to enjoy the great wall winding over hills.",Positive,388120,3049,238970,The Great Wall winding over hills,Business
6/20/2025,17:13,U30262,Toronto,Relaxing in Toronto with views like this: graffiti alley street art.,Positive,413375,3105,254235,Graffiti Alley street art,Leisure
7/23/2025,15:09,U52145,Rio de Janeiro,Adventuring through Rio de Janeiro – just look at beach volleyball at copacabana!,Positive,467178,1282,282870.8,Beach volleyball at Copacabana,Adventure
7/10/2025,3:08,U30967,Brussels,Relaxing in Brussels with views like this: waffles with whipped cream.,Neutral,54480,4798,42284,Waffles with whipped cream,Leisure
7/10/2025,16:50,U58282,Mexico City,Relaxing in Mexico City with views like this: zócalo square flag.,Negative,323196,1824,197565.6,Zócalo square flag,Leisure
7/14/2025,4:55,U64605,Toronto,Adrenaline + views = Toronto. Loved snow-covered sidewalks downtown!,Positive,153463,31,92139.8,Snow-covered sidewalks downtown,Adventure
6/27/2025,8:44,U87755,Reykjavik,Quick trip to Reykjavik for work – still managed to catch this: geothermal pool steam rising.,Neutral,158088,3886,102624.8,Geothermal pool steam rising,Business
5/30/2025,18:02,U29303,Bangkok,Business isn’t all boring – check out street food vendor at night market in Bangkok.,Positive,441303,3319,271419.8,Street food vendor at night market,Business
7/27/2025,8:43,U78552,Buenos Aires,Adventuring through Buenos Aires – just look at obelisk in city center!,Positive,167841,4852,110408.6,Obelisk in city center,Adventure
6/12/2025,8:58,U54803,Beijing,Adventuring through Beijing – just look at beijing duck in a traditional setting!,Positive,70940,4506,51576,Beijing duck in a traditional setting,Adventure
7/1/2025,3:43,U23428,Buenos Aires,Thrill-seeking in Buenos Aires! Obelisk in city center was the highlight.,Positive,17306,232,10847.6,Obelisk in city center,Adventure
6/10/2025,13:34,U81810,Amman,Adventuring through Amman – just look at citadel hill with city view!,Positive,381965,1672,232523,Citadel hill with city view,Adventure
7/8/2025,14:53,U57242,Iceland,Adrenaline + views = Iceland. Loved northern lights over glacier!,Positive,21583,1830,16609.8,Northern lights over glacier,Adventure
6/24/2025,13:09,U28790,Warsaw,Relaxing in Warsaw with views like this: colorful buildings in old town.,Positive,220030,4532,141082,Colorful buildings in Old Town,Leisure
7/12/2025,8:01,U40687,Glasgow,Adrenaline + views = Glasgow. Loved pub crowd during football match!,Positive,216045,1419,132465,Pub crowd during football match,Adventure
6/27/2025,1:50,U90947,Copenhagen,Thrill-seeking in Copenhagen! Colorful houses in Nyhavn was the highlight.,Negative,369820,2740,227372,Colorful houses in Nyhavn,Adventure
7/10/2025,11:46,U67706,Venice,Adrenaline + views = Venice. Loved bridge of sighs at dusk!,Negative,54599,4698,42155.4,Bridge of Sighs at dusk,Adventure
6/24/2025,12:23,U61430,Lisbon,Adrenaline + views = Lisbon. Loved tile-covered buildings in alfama!,Neutral,380610,594,229554,Tile-covered buildings in Alfama,Adventure
6/15/2025,9:54,U70223,Zurich,Adrenaline + views = Zurich. Loved conference center interior!,Neutral,54880,1032,34992,Conference center interior,Adventure
7/5/2025,21:26,U28436,Copenhagen,Exploring the beauty of Copenhagen – colorful houses in nyhavn.,Positive,351269,1262,213285.4,Colorful houses in Nyhavn,Leisure
6/24/2025,7:48,U71905,Prague,Quick trip to Prague for work – still managed to catch this: astronomical clock in old town.,Positive,277536,1917,170355.6,Astronomical Clock in Old Town,Business
6/26/2025,18:13,U72131,New York,Adventuring through New York – just look at skyline from brooklyn bridge!,Negative,480465,20,288319,Skyline from Brooklyn Bridge,Adventure
7/8/2025,2:46,U76521,Lisbon,Quick trip to Lisbon for work – still managed to catch this: view from miradouro da senhora.,Positive,440524,4598,273510.4,View from Miradouro da Senhora,Business
7/26/2025,22:08,U48977,Lisbon,Business isn’t all boring – check out tram 28 on cobblestone streets in Lisbon.,Positive,223718,4938,144106.8,Tram 28 on cobblestone streets,Business
7/28/2025,3:29,U84246,Buenos Aires,Quick trip to Buenos Aires for work – still managed to catch this: tango dancers in san telmo.,Negative,456181,2115,277938.6,Tango dancers in San Telmo,Business
6/8/2025,13:08,U11863,Helsinki,Quick trip to Helsinki for work – still managed to catch this: white helsinki cathedral.,Negative,229158,718,138930.8,White Helsinki Cathedral,Business
6/20/2025,9:51,U97126,Prague,Vacation vibes in Prague! Charles Bridge at sunrise made it unforgettable.,Neutral,4254,4654,11860.4,Charles Bridge at sunrise,Leisure
6/8/2025,15:08,U62353,Tallinn,Relaxing in Tallinn with views like this: cafés in old town street.,Positive,288717,3270,179770.2,Cafés in old town street,Leisure
6/4/2025,13:34,U47332,Tokyo,Thrill-seeking in Tokyo! Shibuya Crossing at rush hour was the highlight.,Neutral,457913,3264,281275.8,Shibuya Crossing at rush hour,Adventure
6/9/2025,1:49,U36066,Iceland,Relaxing in Iceland with views like this: hot spring in snowy landscape.,Positive,412694,4766,257148.4,Hot spring in snowy landscape,Leisure
7/21/2025,12:54,U67446,London,Quick trip to London for work – still managed to catch this: afternoon tea in notting hill.,Positive,162327,2362,102120.2,Afternoon tea in Notting Hill,Business
6/8/2025,22:30,U16938,Munich,Adrenaline + views = Munich. Loved marienplatz christmas market!,Positive,37584,3434,29418.4,Marienplatz Christmas market,Adventure
6/20/2025,5:20,U70109,Cairo,Vacation vibes in Cairo! Ancient hieroglyphs inside tomb made it unforgettable.,Neutral,106473,395,64673.8,Ancient hieroglyphs inside tomb,Leisure
6/26/2025,11:04,U19846,Santiago,Business isn’t all boring – check out cerro san cristóbal cable car in Santiago.,Negative,215712,2360,134147.2,Cerro San Cristóbal cable car,Business
6/17/2025,0:39,U45656,Rio de Janeiro,Adrenaline + views = Rio de Janeiro. Loved samba dancers at carnival!,Negative,321562,1526,195989.2,Samba dancers at Carnival,Adventure
7/3/2025,2:49,U89502,Tel Aviv,"Between meetings in Tel Aviv, took a moment to enjoy carmel market food stalls.",Neutral,496447,2862,303592.2,Carmel Market food stalls,Business
7/14/2025,20:52,U25450,Reykjavik,Adventuring through Reykjavik – just look at hallgrímskirkja church in snow!,Negative,170891,1183,104900.6,Hallgrímskirkja church in snow,Adventure
6/22/2025,20:12,U98365,Moscow,Business isn’t all boring – check out st. basil's cathedral in snow in Moscow.,Positive,334056,3862,208157.6,St. Basil's Cathedral in snow,Business
7/24/2025,5:35,U64989,Cusco,Thrill-seeking in Cusco! Stone streets of Inca city was the highlight.,Positive,465126,1131,281337.6,Stone streets of Inca city,Adventure
7/19/2025,10:11,U44113,Glasgow,Adrenaline + views = Glasgow. Loved street art on city walls!,Neutral,295246,638,178423.6,Street art on city walls,Adventure
6/13/2025,2:01,U53636,Iceland,"Between meetings in Iceland, took a moment to enjoy waterfall crashing down cliffs.",Positive,328592,2803,202761.2,Waterfall crashing down cliffs,Business
6/24/2025,12:18,U85734,Edinburgh,Adrenaline + views = Edinburgh. Loved arthur's seat hike view!,Negative,109916,2523,70995.6,Arthur's Seat hike view,Adventure
6/21/2025,10:04,U40177,Istanbul,Adventuring through Istanbul – just look at spices in grand bazaar!,Positive,15137,2315,13712.2,Spices in Grand Bazaar,Adventure
5/31/2025,0:18,U97439,Nairobi,Adrenaline + views = Nairobi. Loved safari jeep with giraffes!,Positive,491603,2751,300463.8,Safari jeep with giraffes,Adventure
6/6/2025,21:00,U95348,Manila,Adrenaline + views = Manila. Loved jeepneys on crowded street!,Neutral,219600,3932,139624,Jeepneys on crowded street,Adventure
7/27/2025,22:58,U33460,Marrakech,Adrenaline + views = Marrakech. Loved koutoubia mosque at dusk!,Positive,333502,4098,208297.2,Koutoubia Mosque at dusk,Adventure
7/24/2025,13:30,U54695,Zurich,Exploring the beauty of Zurich – conference center interior.,Neutral,478178,421,287748.8,Conference center interior,Leisure
6/9/2025,23:10,U35563,Lima,Adrenaline + views = Lima. Loved colonial architecture in center!,Positive,339210,1062,205650,Colonial architecture in center,Adventure
7/27/2025,21:52,U17963,Glasgow,Relaxing in Glasgow with views like this: kelvingrove art gallery.,Negative,311959,2908,192991.4,Kelvingrove Art Gallery,Leisure
7/1/2025,16:57,U46973,Cusco,Thrill-seeking in Cusco! Stone streets of Inca city was the highlight.,Positive,287310,3983,180352,Stone streets of Inca city,Adventure
6/5/2025,16:22,U35292,Athens,Exploring the beauty of Athens – rooftop taverna with acropolis view.,Neutral,359562,3854,223445.2,Rooftop taverna with Acropolis view,Leisure
6/26/2025,19:35,U85288,Zagreb,Adventuring through Zagreb – just look at café tables in pedestrian zone!,Neutral,118558,1110,73354.8,Café tables in pedestrian zone,Adventure
6/28/2025,15:57,U29028,Tallinn,Vacation vibes in Tallinn! Christmas market in Town Hall Square made it unforgettable.,Negative,341063,4635,213907.8,Christmas market in Town Hall Square,Leisure
7/21/2025,15:58,U66711,New York,Adventuring through New York – just look at times square crowd at night!,Positive,418252,2307,255565.2,Times Square crowd at night,Adventure
7/24/2025,1:01,U31035,Warsaw,Relaxing in Warsaw with views like this: colorful buildings in old town.,Positive,9330,4387,14372,Colorful buildings in Old Town,Leisure
7/26/2025,13:37,U93322,Vilnius,"Between meetings in Vilnius, took a moment to enjoy street art murals downtown.",Positive,358915,527,216403,Street art murals downtown,Business
7/25/2025,14:13,U36465,Beijing,"Between meetings in Beijing, took a moment to enjoy the great wall winding over hills.",Positive,420445,396,253059,The Great Wall winding over hills,Business
6/10/2025,16:19,U13714,Glasgow,Exploring the beauty of Glasgow – pub crowd during football match.,Negative,261742,670,158385.2,Pub crowd during football match,Leisure
6/13/2025,21:59,U69903,Beijing,Vacation vibes in Beijing! The Great Wall winding over hills made it unforgettable.,Neutral,432085,2590,264431,The Great Wall winding over hills,Leisure
7/8/2025,21:37,U78376,Manila,"Between meetings in Manila, took a moment to enjoy sunset over manila bay.",Negative,231195,146,139009,Sunset over Manila Bay,Business
7/15/2025,5:30,U44903,Reykjavik,Relaxing in Reykjavik with views like this: sun voyager sculpture by water.,Positive,497970,2754,304290,Sun Voyager sculpture by water,Leisure
6/17/2025,22:38,U20546,Santorini,Adventuring through Santorini – just look at sunset over the aegean sea!,Positive,15141,4522,18128.6,Sunset over the Aegean Sea,Adventure
6/11/2025,14:58,U45471,Dubai,Adventuring through Dubai – just look at luxury mall interior!,Neutral,365711,4186,227798.6,Luxury mall interior,Adventure
6/29/2025,8:21,U15234,Cape Town,Exploring the beauty of Cape Town – penguins at boulders beach.,Neutral,366277,4099,227964.2,Penguins at Boulders Beach,Leisure
7/14/2025,9:43,U94006,Moscow,Vacation vibes in Moscow! Red Square with tourists made it unforgettable.,Positive,307456,19,184511.6,Red Square with tourists,Leisure
6/21/2025,17:58,U50893,Vancouver,"Between meetings in Vancouver, took a moment to enjoy snow-capped mountains behind skyline.",Positive,231183,1165,141039.8,Snow-capped mountains behind skyline,Business
6/13/2025,6:55,U97708,Paris,Quick trip to Paris for work – still managed to catch this: croissant and coffee by the seine.,Positive,165048,1433,101894.8,Croissant and coffee by the Seine,Business
5/30/2025,21:07,U44582,Rome,Quick trip to Rome for work – still managed to catch this: colosseum under golden light.,Positive,449189,3469,276451.4,Colosseum under golden light,Business
6/8/2025,3:07,U55590,Tel Aviv,Relaxing in Tel Aviv with views like this: beachfront with volleyball players.,Neutral,329076,3619,204683.6,Beachfront with volleyball players,Leisure
6/25/2025,5:57,U76990,Marrakech,Relaxing in Marrakech with views like this: lanterns in souk alley.,Positive,211810,648,128382,Lanterns in souk alley,Leisure
6/29/2025,17:04,U98552,Glasgow,Vacation vibes in Glasgow! Street art on city walls made it unforgettable.,Positive,301576,3763,188471.6,Street art on city walls,Leisure
6/20/2025,15:56,U79959,Nairobi,Adrenaline + views = Nairobi. Loved sunrise over savannah!,Positive,141158,1138,86970.8,Sunrise over savannah,Adventure
7/25/2025,10:16,U99361,Beijing,Exploring the beauty of Beijing – beijing duck in a traditional setting.,Negative,445262,1633,270423.2,Beijing duck in a traditional setting,Leisure
7/9/2025,9:43,U31820,Barcelona,Exploring the beauty of Barcelona – park güell mosaics.,Positive,418037,2887,256596.2,Park Güell mosaics,Leisure
7/7/2025,10:08,U82215,Tallinn,Quick trip to Tallinn for work – still managed to catch this: christmas market in town hall square.,Positive,324149,1820,198129.4,Christmas market in Town Hall Square,Business
5/30/2025,20:34,U67139,Sydney,Vacation vibes in Sydney! Harbor Bridge lights at night made it unforgettable.,Positive,494280,2305,301178,Harbor Bridge lights at night,Leisure
6/11/2025,22:46,U49673,Kuala Lumpur,"Between meetings in Kuala Lumpur, took a moment to enjoy petronas towers at night.",Positive,351419,4034,218919.4,Petronas Towers at night,Business
6/20/2025,5:36,U39472,Nairobi,Relaxing in Nairobi with views like this: safari jeep with giraffes.,Positive,204494,4825,132346.4,Safari jeep with giraffes,Leisure
7/10/2025,11:53,U32826,Cape Town,Thrill-seeking in Cape Town! Colorful Bo-Kaap houses was the highlight.,Positive,27700,1752,20124,Colorful Bo-Kaap houses,Adventure
7/7/2025,1:52,U52109,Istanbul,Thrill-seeking in Istanbul! Spices in Grand Bazaar was the highlight.,Negative,320426,2603,197461.6,Spices in Grand Bazaar,Adventure
7/6/2025,11:12,U12561,Zagreb,Vacation vibes in Zagreb! Ban Jelačić Square crowd made it unforgettable.,Positive,5271,1788,6738.6,Ban Jelačić Square crowd,Leisure
6/3/2025,10:37,U73208,Paris,Thrill-seeking in Paris! Eiffel Tower lit at night was the highlight.,Positive,386961,1621,235418.6,Eiffel Tower lit at night,Adventure
6/28/2025,2:16,U14670,Paris,"Between meetings in Paris, took a moment to enjoy street artist at montmartre.",Neutral,407605,2783,250129,Street artist at Montmartre,Business
6/18/2025,22:57,U36768,Oslo,Exploring the beauty of Oslo – snow-covered waterfront harbor.,Neutral,285316,4185,179559.6,Snow-covered waterfront harbor,Leisure
7/22/2025,7:45,U46685,Vienna,Vacation vibes in Vienna! Schönbrunn Palace gardens made it unforgettable.,Positive,283162,284,170465.2,Schönbrunn Palace gardens,Leisure
7/9/2025,4:36,U63950,Vilnius,Business isn’t all boring – check out street art murals downtown in Vilnius.,Neutral,353171,2590,217082.6,Street art murals downtown,Business
7/23/2025,18:08,U59106,Doha,Relaxing in Doha with views like this: skyline with dhow boat.,Positive,257431,4942,164342.6,Skyline with dhow boat,Leisure
6/1/2025,13:53,U85550,Iceland,Quick trip to Iceland for work – still managed to catch this: waterfall crashing down cliffs.,Negative,89118,1338,56146.8,Waterfall crashing down cliffs,Business
7/17/2025,21:40,U46141,Vilnius,Vacation vibes in Vilnius! Street art murals downtown made it unforgettable.,Positive,261776,3829,164723.6,Street art murals downtown,Leisure
7/5/2025,7:35,U90658,Istanbul,Thrill-seeking in Istanbul! Blue Mosque interior lights was the highlight.,Positive,346728,3686,215408.8,Blue Mosque interior lights,Adventure
7/5/2025,18:42,U52368,Athens,"Between meetings in Athens, took a moment to enjoy rooftop taverna with acropolis view.",Positive,267165,2671,165641,Rooftop taverna with Acropolis view,Business
6/5/2025,3:37,U72820,Venice,Exploring the beauty of Venice – bridge of sighs at dusk.,Positive,242252,1226,147803.2,Bridge of Sighs at dusk,Leisure
6/15/2025,17:51,U85196,Jakarta,Quick trip to Jakarta for work – still managed to catch this: rush hour traffic chaos.,Neutral,462694,4374,286364.4,Rush hour traffic chaos,Business
7/8/2025,14:10,U95803,Copenhagen,"Between meetings in Copenhagen, took a moment to enjoy little mermaid statue by sea.",Positive,202453,2562,126595.8,Little Mermaid statue by sea,Business
7/12/2025,22:43,U67512,Cairo,Relaxing in Cairo with views like this: camel riders at sunset.,Positive,420600,224,252808,Camel riders at sunset,Leisure
6/29/2025,21:55,U40054,Reykjavik,Thrill-seeking in Reykjavik! Sun Voyager sculpture by water was the highlight.,Neutral,212107,4834,136932.2,Sun Voyager sculpture by water,Adventure
6/1/2025,6:59,U25637,Toronto,Quick trip to Toronto for work – still managed to catch this: cn tower from the harbor.,Positive,488196,4317,301551.6,CN Tower from the harbor,Business
7/1/2025,7:30,U65305,Riga,Quick trip to Riga for work – still managed to catch this: art nouveau building facades.,Neutral,204897,994,124926.2,Art Nouveau building facades,Business
6/13/2025,23:34,U54490,Kuala Lumpur,Business isn’t all boring – check out petronas towers at night in Kuala Lumpur.,Neutral,337657,401,203396.2,Petronas Towers at night,Business
7/9/2025,2:36,U57111,Seoul,Quick trip to Seoul for work – still managed to catch this: night view of n seoul tower.,Neutral,462063,271,277779.8,Night view of N Seoul Tower,Business
6/24/2025,15:43,U98578,Riga,Adventuring through Riga – just look at art nouveau building facades!,Positive,27107,2995,22254.2,Art Nouveau building facades,Adventure
7/20/2025,13:20,U80144,Reykjavik,"Between meetings in Reykjavik, took a moment to enjoy hallgrímskirkja church in snow.",Positive,73460,3501,51078,Hallgrímskirkja church in snow,Business
7/20/2025,5:03,U23000,Munich,Thrill-seeking in Munich! Beer steins at Oktoberfest was the highlight.,Neutral,253824,2802,157898.4,Beer steins at Oktoberfest,Adventure
6/24/2025,21:49,U14332,Tokyo,Exploring the beauty of Tokyo – sushi platter at tsukiji market.,Positive,322949,3787,201343.4,Sushi platter at Tsukiji Market,Leisure
7/24/2025,0:29,U25429,Seoul,Adrenaline + views = Seoul. Loved night view of n seoul tower!,Positive,198540,43,119210,Night view of N Seoul Tower,Adventure
6/5/2025,20:07,U62415,Istanbul,"Between meetings in Istanbul, took a moment to enjoy spices in grand bazaar.",Positive,414018,1578,251566.8,Spices in Grand Bazaar,Business
6/3/2025,14:54,U43901,Santiago,Vacation vibes in Santiago! Andes behind the skyline made it unforgettable.,Negative,236615,4954,151877,Andes behind the skyline,Leisure
7/16/2025,6:59,U64954,Tel Aviv,Adrenaline + views = Tel Aviv. Loved carmel market food stalls!,Positive,294286,4244,185059.6,Carmel Market food stalls,Adventure
7/20/2025,15:15,U56818,Zurich,Thrill-seeking in Zurich! Lake Zurich view with swans was the highlight.,Neutral,244023,3030,152473.8,Lake Zurich view with swans,Adventure
5/31/2025,17:12,U52760,Marrakech,Adrenaline + views = Marrakech. Loved koutoubia mosque at dusk!,Positive,239486,3663,151017.6,Koutoubia Mosque at dusk,Adventure
6/16/2025,1:43,U68651,Santorini,Quick trip to Santorini for work – still managed to catch this: blue-domed churches on cliffside.,Positive,153124,1436,94746.4,Blue-domed churches on cliffside,Business
6/6/2025,16:59,U20428,Amman,Business isn’t all boring – check out rainbow street cafés in Amman.,Negative,484976,165,291315.6,Rainbow Street cafés,Business
6/7/2025,22:41,U55978,Copenhagen,Relaxing in Copenhagen with views like this: little mermaid statue by sea.,Negative,132280,1240,81848,Little Mermaid statue by sea,Leisure
7/21/2025,4:10,U12900,Hanoi,Thrill-seeking in Hanoi! Train Street café was the highlight.,Negative,330710,2565,203556,Train Street café,Adventure
7/14/2025,16:45,U30930,Brussels,"Between meetings in Brussels, took a moment to enjoy grand place at night.",Neutral,209401,1125,127890.6,Grand Place at night,Business
7/13/2025,13:32,U33622,Tallinn,Quick trip to Tallinn for work – still managed to catch this: medieval towers and stone walls.,Positive,139476,4886,93457.6,Medieval towers and stone walls,Business
